PID,Time_Bin,Mean_RSSI,Median_RSSI,Std_RSSI,Var_RSSI,Max_RSSI,Min_RSSI,Mean_Time_Interval,Std_Time_Interval,Unique_Locations,RSSI_Count,Counterfeit
PID002C,2019-07-30 13:04:30,-64.46143547273982,-65.0,1.2917076891849546,2.4781136271690998,-54.0,-75.0,1.010655172413793,0.0036866153860860016,3,3108.0,0
PID002D,2019-07-30 14:10:30,-63.539227511927564,-64.0,0.8912408311277263,0.9950085142613879,-53.0,-75.0,0.8210782872753534,0.0038907494181047854,3,4106.399539607835,1
PID005,2019-08-01 11:47:00,-64.25718954248366,-63.25,0.8769670757017046,1.1008677034032002,-55.0,-76.0,1.0120689655172415,0.008035328397959477,1,3047.0,0
PID006,2019-08-01 15:34:00,-64.73018759018758,-64.0,1.314826834905644,2.997088646380842,-54.0,-77.0,1.0115172413793103,0.003460188781546598,1,3030.0,0
PID002A,2019-07-24 12:07:00,-64.29802664655605,-63.75,1.2876036023191972,2.647992146460706,-54.0,-78.0,1.013793103448276,0.005869894805244003,1,4073.0,0
PID002E,2019-07-30 15:02:00,-64.51100323624597,-64.0,0.8950106994114758,1.2235028117009457,-53.0,-78.0,1.0109310344827585,0.0034218941546914346,2,2954.0,0
PID001,2019-07-24 10:01:30,-67.21690159723163,-64.0,1.2150732099533776,2.2471678713284553,-54.0,-78.0,1.1511579771285485,0.05877554000231818,2,5584.670334935,1
PID002C,2019-07-30 13:23:00,-64.34117647058825,-64.5,0.8487294848402173,0.977507324768988,-54.0,-76.0,1.0096896551724137,0.002726895779294289,2,3045.0,0
PID003,2019-07-31 12:04:30,-64.485,-64.0,0.8264239961049153,0.9656436781609196,-54.0,-77.0,1.0109310344827587,0.004199753687358661,1,3000.0,0
PID002D,2019-07-30 14:17:00,-64.65943396226416,-65.0,0.8584534137388222,0.9851423067600494,-54.0,-77.0,1.0117241379310347,0.005364543328481243,1,3088.0,0
PID002B,2019-07-30 11:48:00,-64.4675857286336,-64.0,0.7911742118589722,0.8154821687630527,-54.0,-76.0,1.0115714285714286,0.0046937986782291784,1,2986.0,0
PID005,2019-08-01 12:05:30,-64.42979179550608,-64.0,0.7689632715364924,0.8834236808621047,-55.0,-76.0,1.0113793103448274,0.004670682063249521,1,3050.0,0
PID005,2019-08-01 11:27:30,-65.77010015324939,-64.0,0.9696418273423405,1.0896884424267792,-54.0,-79.0,0.9597250248897597,0.005170492253913879,2,1748.0951844163278,1
PID005,2019-08-01 11:38:00,-64.69527243589744,-64.75,1.0469287705156833,1.5572616679297715,-55.0,-78.0,1.0111379310344826,0.0038146722189371838,2,3000.0,0
